\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),2.772550497,1
Cell 33 rooted in Path (33),2.070016887,1
Cell 5 rooted in Path (5),9.027968988,1
Cell 34 rooted in Path (34),6.957952101,1
Cell 2 rooted in Path (2),12.57499678,1
Cell 31 rooted in Path (31),21.7766532,1
Cell 3 rooted in Path (3),8.680594128,1
Cell 32 rooted in Path (32),5.326045733,1
Cell 1 rooted in Path (1),13.38705802,1
Cell 30 rooted in Path (30),2.598863067,1
Cell 8 rooted in Path (8),11.29824917,1
Cell 9 rooted in Path (9),0.638373809,1
Cell 6 rooted in Path (6),5.243093963,1
Cell 7 rooted in Path (7),5.571676853,1
Cell 28 rooted in Path (28),7.26774302,1
Cell 29 rooted in Path (29),3.629979566,1
Cell 26 rooted in Path (26),8.608650439,1
Cell 27 rooted in Path (27),7.57753394,1
Cell 24 rooted in Path (24),3.036973586,1
Cell 25 rooted in Path (25),4.249561405,1
Cell 22 rooted in Path (22),1.650698338,1
Cell 23 rooted in Path (23),1.322115448,1
Cell 20 rooted in Path (20),3.237236876,1
Cell 21 rooted in Path (21),2.617655037,1
Cell 19 rooted in Path (19),6.055155202,1
Cell 17 rooted in Path (17),6.803056641,1
Cell 18 rooted in Path (18),3.237236876,1
Cell 15 rooted in Path (15),39.76843138,1
Cell 16 rooted in Path (16),5.480941193,1
Cell 13 rooted in Path (13),7.550958081,1
Cell 14 rooted in Path (14),2.553495237,1
Cell 55 rooted in Path (55),21.15707136,1
Cell 56 rooted in Path (56),3.920978515,1
Cell 53 rooted in Path (53),8.589858469,1
Cell 54 rooted in Path (54),5.326045733,1
Cell 100 rooted in Path (100),14.6903815,1
Cell 51 rooted in Path (51),3.082341416,1
Cell 101 rooted in Path (101),13.94248006,1
Cell 52 rooted in Path (52),4.468616664,1
Cell 102 rooted in Path (102),19.19658211,1
Cell 103 rooted in Path (103),7.441430451,1
Cell 50 rooted in Path (50),6.410313951,1
Cell 104 rooted in Path (104),4.140033775,1
Cell 105 rooted in Path (105),2.817918326,1
Cell 106 rooted in Path (106),5.106990474,1
Cell 107 rooted in Path (107),3.766083055,1
Cell 108 rooted in Path (108),0.902796899,1
Cell 109 rooted in Path (109),2.024649058,1
Cell 48 rooted in Path (48),1.650698338,1
Cell 49 rooted in Path (49),4.313721205,1
Cell 46 rooted in Path (46),26.70217236,1
Cell 47 rooted in Path (47),2.024649058,1
Cell 44 rooted in Path (44),7.77001334,1
Cell 45 rooted in Path (45),3.720715225,1
Cell 42 rooted in Path (42),8.36301932,1
Cell 110 rooted in Path (110),3.301396676,1
Cell 43 rooted in Path (43),24.22062081,1
Cell 111 rooted in Path (111),5.854891913,1
Cell 40 rooted in Path (40),2.115384717,1
Cell 112 rooted in Path (112),6.429105922,1
Cell 41 rooted in Path (41),2.070016887,1
Cell 113 rooted in Path (113),2.443967607,1
Cell 114 rooted in Path (114),4.359089034,1
Cell 115 rooted in Path (115),4.030506145,1
Cell 116 rooted in Path (116),2.553495237,1
Cell 117 rooted in Path (117),1.760225968,1
Cell 118 rooted in Path (118),2.817918326,1
Cell 119 rooted in Path (119),2.663022867,1
Cell 39 rooted in Path (39),2.398599777,1
Cell 37 rooted in Path (37),1.586538538,1
Cell 38 rooted in Path (38),17.96520232,1
Cell 35 rooted in Path (35),5.745364283,1
Cell 36 rooted in Path (36),2.927445956,1
Cell 77 rooted in Path (77),4.094665945,1
Cell 78 rooted in Path (78),4.668879954,1
Cell 120 rooted in Path (120),2.817918326,1
Cell 75 rooted in Path (75),24.76825896,1
Cell 121 rooted in Path (121),1.915121428,1
Cell 76 rooted in Path (76),11.4077768,1
Cell 73 rooted in Path (73),1.760225968,1
Cell 74 rooted in Path (74),1.586538538,1
Cell 71 rooted in Path (71),4.559352324,1
Cell 72 rooted in Path (72),2.817918326,1
Cell 70 rooted in Path (70),11.11677785,1
Cell 68 rooted in Path (68),1.167219988,1
Cell 69 rooted in Path (69),2.443967607,1
Cell 66 rooted in Path (66),3.939770485,1
Cell 67 rooted in Path (67),6.274210462,1
Cell 64 rooted in Path (64),13.03968316,1
Cell 65 rooted in Path (65),2.224912347,1
Cell 62 rooted in Path (62),20.60164932,1
Cell 63 rooted in Path (63),3.656555425,1
Cell 60 rooted in Path (60),3.675347396,1
Cell 61 rooted in Path (61),9.858822198,1
Cell 59 rooted in Path (59),2.708390697,1
Cell 57 rooted in Path (57),3.501659965,1
Cell 58 rooted in Path (58),2.708390697,1
Cell 11 rooted in Path (11),2.927445956,1
Cell 99 rooted in Path (99),2.224912347,1
Cell 12 rooted in Path (12),5.197726133,1
Cell 97 rooted in Path (97),2.024649058,1
Cell 10 rooted in Path (10),2.508127407,1
Cell 98 rooted in Path (98),3.830242855,1
Cell 95 rooted in Path (95),4.340297064,1
Cell 96 rooted in Path (96),2.179544517,1
Cell 93 rooted in Path (93),2.134176687,1
Cell 94 rooted in Path (94),7.150431502,1
Cell 91 rooted in Path (91),16.6884547,1
Cell 92 rooted in Path (92),2.489335437,1
Cell 90 rooted in Path (90),4.933303044,1
Cell 88 rooted in Path (88),16.91529385,1
Cell 89 rooted in Path (89),4.158825745,1
Cell 86 rooted in Path (86),7.81538117,1
Cell 87 rooted in Path (87),3.392132335,1
Cell 84 rooted in Path (84),5.790732113,1
Cell 85 rooted in Path (85),5.990995402,1
Cell 82 rooted in Path (82),33.44885309,1
Cell 83 rooted in Path (83),3.301396676,1
Cell 80 rooted in Path (80),3.720715225,1
Cell 81 rooted in Path (81),5.106990474,1
Cell 79 rooted in Path (79),1.386275248,1
,796.3141213,
