\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),12.42010132,1
Cell 33 rooted in Path (33),3.565819766,1
Cell 5 rooted in Path (5),5.042830673,1
Cell 34 rooted in Path (34),3.346764506,1
Cell 2 rooted in Path (2),12.48426112,1
Cell 31 rooted in Path (31),6.867216442,1
Cell 3 rooted in Path (3),3.237236876,1
Cell 32 rooted in Path (32),3.675347396,1
Cell 1 rooted in Path (1),37.67962252,1
Cell 30 rooted in Path (30),10.22176484,1
Cell 8 rooted in Path (8),3.830242855,1
Cell 9 rooted in Path (9),2.972813786,1
Cell 6 rooted in Path (6),3.611187595,1
Cell 7 rooted in Path (7),6.036363232,1
Cell 28 rooted in Path (28),3.985138315,1
Cell 29 rooted in Path (29),3.456292136,1
Cell 26 rooted in Path (26),1.057692359,1
Cell 27 rooted in Path (27),20.12595486,1
Cell 24 rooted in Path (24),3.675347396,1
Cell 25 rooted in Path (25),2.224912347,1
Cell 22 rooted in Path (22),2.070016887,1
Cell 23 rooted in Path (23),5.790732113,1
Cell 20 rooted in Path (20),3.565819766,1
Cell 21 rooted in Path (21),2.598863067,1
Cell 19 rooted in Path (19),8.699386099,1
Cell 17 rooted in Path (17),3.127709246,1
Cell 18 rooted in Path (18),9.994925687,1
Cell 15 rooted in Path (15),37.47935923,1
Cell 16 rooted in Path (16),14.59964584,1
Cell 13 rooted in Path (13),3.920978515,1
Cell 57 rooted in Path (57),12.66573244,1
Cell 14 rooted in Path (14),5.571676853,1
Cell 58 rooted in Path (58),7.84195703,1
Cell 11 rooted in Path (11),18.2374093,1
Cell 55 rooted in Path (55),5.088198503,1
Cell 12 rooted in Path (12),21.38391051,1
Cell 56 rooted in Path (56),7.222375191,1
Cell 53 rooted in Path (53),2.708390697,1
Cell 10 rooted in Path (10),2.334439977,1
Cell 54 rooted in Path (54),21.34632657,1
Cell 51 rooted in Path (51),4.978670873,1
Cell 52 rooted in Path (52),9.164072478,1
Cell 50 rooted in Path (50),5.681204483,1
Cell 48 rooted in Path (48),5.435573363,1
Cell 49 rooted in Path (49),4.030506145,1
Cell 46 rooted in Path (46),23.92962186,1
Cell 47 rooted in Path (47),4.906727184,1
Cell 44 rooted in Path (44),3.501659965,1
Cell 45 rooted in Path (45),3.830242855,1
Cell 42 rooted in Path (42),2.882078127,1
Cell 43 rooted in Path (43),3.611187595,1
Cell 40 rooted in Path (40),4.204193575,1
Cell 41 rooted in Path (41),20.9380161,1
Cell 39 rooted in Path (39),2.224912347,1
Cell 37 rooted in Path (37),35.27323885,1
Cell 38 rooted in Path (38),19.35926145,1
Cell 35 rooted in Path (35),2.243704317,1
Cell 36 rooted in Path (36),1.431643078,1
,503.3912785,
