\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),5.681204483,1
Cell 33 rooted in Path (33),5.042830673,1
Cell 5 rooted in Path (5),4.778407584,1
Cell 34 rooted in Path (34),35.13713537,1
Cell 2 rooted in Path (2),32.3457929,1
Cell 31 rooted in Path (31),15.45707491,1
Cell 3 rooted in Path (3),13.16800276,1
Cell 32 rooted in Path (32),32.3457929,1
Cell 73 rooted in Path (73),9.092128789,1
Cell 1 rooted in Path (1),16.29571201,1
Cell 30 rooted in Path (30),13.56074545,1
Cell 71 rooted in Path (71),1.541170708,1
Cell 72 rooted in Path (72),1.650698338,1
Cell 70 rooted in Path (70),11.25288134,1
Cell 8 rooted in Path (8),1.276747618,1
Cell 9 rooted in Path (9),1.322115448,1
Cell 6 rooted in Path (6),4.185401604,1
Cell 7 rooted in Path (7),4.623512124,1
Cell 28 rooted in Path (28),33.13127828,1
Cell 29 rooted in Path (29),42.46581399,1
Cell 26 rooted in Path (26),32.10794567,1
Cell 27 rooted in Path (27),9.866606087,1
Cell 24 rooted in Path (24),4.733039754,1
Cell 68 rooted in Path (68),7.951484659,1
Cell 25 rooted in Path (25),29.25566759,1
Cell 69 rooted in Path (69),5.654628623,1
Cell 22 rooted in Path (22),26.64579645,1
Cell 66 rooted in Path (66),7.7965892,1
Cell 23 rooted in Path (23),4.030506145,1
Cell 67 rooted in Path (67),8.808913729,1
Cell 20 rooted in Path (20),13.74221677,1
Cell 64 rooted in Path (64),36.68608996,1
Cell 21 rooted in Path (21),15.10191616,1
Cell 65 rooted in Path (65),17.30803654,1
Cell 62 rooted in Path (62),4.294929234,1
Cell 63 rooted in Path (63),2.708390697,1
Cell 60 rooted in Path (60),13.36048216,1
Cell 61 rooted in Path (61),7.222375191,1
Cell 19 rooted in Path (19),15.61197037,1
Cell 17 rooted in Path (17),13.74221677,1
Cell 18 rooted in Path (18),54.11922191,1
Cell 15 rooted in Path (15),10.86013865,1
Cell 59 rooted in Path (59),29.97376898,1
Cell 16 rooted in Path (16),2.070016887,1
Cell 13 rooted in Path (13),5.152358303,1
Cell 57 rooted in Path (57),3.675347396,1
Cell 14 rooted in Path (14),34.15917059,1
Cell 58 rooted in Path (58),13.54195348,1
Cell 11 rooted in Path (11),28.97245253,1
Cell 55 rooted in Path (55),10.13102918,1
Cell 12 rooted in Path (12),18.32036107,1
Cell 56 rooted in Path (56),1.869753598,1
Cell 53 rooted in Path (53),8.170539919,1
Cell 10 rooted in Path (10),2.553495237,1
Cell 54 rooted in Path (54),6.383738092,1
Cell 51 rooted in Path (51),3.127709246,1
Cell 52 rooted in Path (52),33.88696361,1
Cell 50 rooted in Path (50),4.140033775,1
Cell 48 rooted in Path (48),4.668879954,1
Cell 49 rooted in Path (49),3.920978515,1
Cell 46 rooted in Path (46),10.36887641,1
Cell 47 rooted in Path (47),21.21022308,1
Cell 44 rooted in Path (44),9.073336818,1
Cell 45 rooted in Path (45),10.28592464,1
Cell 42 rooted in Path (42),44.79247008,1
Cell 43 rooted in Path (43),11.27167331,1
Cell 40 rooted in Path (40),2.817918326,1
Cell 41 rooted in Path (41),22.98924102,1
Cell 39 rooted in Path (39),3.456292136,1
Cell 37 rooted in Path (37),8.01564446,1
Cell 38 rooted in Path (38),2.817918326,1
Cell 35 rooted in Path (35),22.92508122,1
Cell 36 rooted in Path (36),9.556815168,1
,1020.263575,
