\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),9.538023197,1
Cell 33 rooted in Path (33),6.666953152,1
Cell 5 rooted in Path (5),4.404456864,1
Cell 34 rooted in Path (34),11.62683205,1
Cell 2 rooted in Path (2),13.58732131,1
Cell 31 rooted in Path (31),4.294929234,1
Cell 3 rooted in Path (3),11.917831,1
Cell 32 rooted in Path (32),28.16039129,1
Cell 1 rooted in Path (1),26.33600553,1
Cell 30 rooted in Path (30),1.322115448,1
Cell 8 rooted in Path (8),3.456292136,1
Cell 9 rooted in Path (9),10.22176484,1
Cell 6 rooted in Path (6),23.53687917,1
Cell 7 rooted in Path (7),23.3256078,1
Cell 28 rooted in Path (28),7.75122137,1
Cell 29 rooted in Path (29),2.224912347,1
Cell 26 rooted in Path (26),1.805593798,1
Cell 27 rooted in Path (27),10.28592464,1
Cell 24 rooted in Path (24),2.489335437,1
Cell 25 rooted in Path (25),1.650698338,1
Cell 22 rooted in Path (22),2.070016887,1
Cell 23 rooted in Path (23),3.191869046,1
Cell 20 rooted in Path (20),10.83356279,1
Cell 21 rooted in Path (21),1.960489257,1
Cell 19 rooted in Path (19),5.699996453,1
Cell 17 rooted in Path (17),2.070016887,1
Cell 18 rooted in Path (18),2.024649058,1
Cell 15 rooted in Path (15),1.541170708,1
Cell 16 rooted in Path (16),2.753758526,1
Cell 13 rooted in Path (13),3.410924306,1
Cell 14 rooted in Path (14),2.443967607,1
Cell 55 rooted in Path (55),1.805593798,1
Cell 56 rooted in Path (56),1.915121428,1
Cell 53 rooted in Path (53),2.553495237,1
Cell 54 rooted in Path (54),2.927445956,1
Cell 100 rooted in Path (100),8.808913729,1
Cell 51 rooted in Path (51),6.319578292,1
Cell 101 rooted in Path (101),1.541170708,1
Cell 52 rooted in Path (52),13.43242585,1
Cell 102 rooted in Path (102),2.663022867,1
Cell 103 rooted in Path (103),1.586538538,1
Cell 50 rooted in Path (50),13.96905592,1
Cell 104 rooted in Path (104),3.830242855,1
Cell 105 rooted in Path (105),3.766083055,1
Cell 106 rooted in Path (106),3.920978515,1
Cell 107 rooted in Path (107),1.696066168,1
Cell 108 rooted in Path (108),3.501659965,1
Cell 109 rooted in Path (109),2.134176687,1
Cell 48 rooted in Path (48),4.003930285,1
Cell 49 rooted in Path (49),8.544490639,1
Cell 46 rooted in Path (46),3.127709246,1
Cell 47 rooted in Path (47),4.559352324,1
Cell 44 rooted in Path (44),7.59632591,1
Cell 45 rooted in Path (45),0.902796899,1
Cell 42 rooted in Path (42),1.167219988,1
Cell 110 rooted in Path (110),22.13959584,1
Cell 43 rooted in Path (43),7.97027663,1
Cell 111 rooted in Path (111),3.346764506,1
Cell 40 rooted in Path (40),1.167219988,1
Cell 112 rooted in Path (112),2.927445956,1
Cell 41 rooted in Path (41),9.794662398,1
Cell 113 rooted in Path (113),1.915121428,1
Cell 114 rooted in Path (114),2.398599777,1
Cell 115 rooted in Path (115),2.663022867,1
Cell 116 rooted in Path (116),2.863286156,1
Cell 117 rooted in Path (117),2.753758526,1
Cell 39 rooted in Path (39),1.276747618,1
Cell 37 rooted in Path (37),2.489335437,1
Cell 38 rooted in Path (38),3.656555425,1
Cell 35 rooted in Path (35),2.443967607,1
Cell 36 rooted in Path (36),0.902796899,1
Cell 77 rooted in Path (77),7.13942342,1
Cell 78 rooted in Path (78),26.70995625,1
Cell 75 rooted in Path (75),7.70585354,1
Cell 76 rooted in Path (76),5.371413563,1
Cell 73 rooted in Path (73),5.617044683,1
Cell 74 rooted in Path (74),2.927445956,1
Cell 71 rooted in Path (71),1.960489257,1
Cell 72 rooted in Path (72),2.443967607,1
Cell 70 rooted in Path (70),1.431643078,1
Cell 68 rooted in Path (68),2.598863067,1
Cell 69 rooted in Path (69),1.805593798,1
Cell 66 rooted in Path (66),5.726572312,1
Cell 67 rooted in Path (67),2.972813786,1
Cell 64 rooted in Path (64),2.443967607,1
Cell 65 rooted in Path (65),22.64186616,1
Cell 62 rooted in Path (62),2.070016887,1
Cell 63 rooted in Path (63),2.489335437,1
Cell 60 rooted in Path (60),6.210050662,1
Cell 61 rooted in Path (61),6.738896841,1
Cell 59 rooted in Path (59),18.65672785,1
Cell 57 rooted in Path (57),3.191869046,1
Cell 58 rooted in Path (58),2.179544517,1
Cell 11 rooted in Path (11),9.466079508,1
Cell 99 rooted in Path (99),20.5530573,1
Cell 12 rooted in Path (12),10.58793167,1
Cell 97 rooted in Path (97),7.177007361,1
Cell 10 rooted in Path (10),2.863286156,1
Cell 98 rooted in Path (98),17.07018931,1
Cell 95 rooted in Path (95),8.918441358,1
Cell 96 rooted in Path (96),3.191869046,1
Cell 93 rooted in Path (93),1.915121428,1
Cell 94 rooted in Path (94),3.766083055,1
Cell 91 rooted in Path (91),14.66380564,1
Cell 92 rooted in Path (92),4.906727184,1
Cell 90 rooted in Path (90),4.623512124,1
Cell 88 rooted in Path (88),1.960489257,1
Cell 89 rooted in Path (89),15.9139774,1
Cell 86 rooted in Path (86),8.12517209,1
Cell 87 rooted in Path (87),9.794662398,1
Cell 84 rooted in Path (84),22.72481793,1
Cell 85 rooted in Path (85),38.05357324,1
Cell 82 rooted in Path (82),19.86931566,1
Cell 83 rooted in Path (83),2.753758526,1
Cell 80 rooted in Path (80),6.738896841,1
Cell 81 rooted in Path (81),11.76293554,1
Cell 79 rooted in Path (79),1.960489257,1
,809.980617,
