\,Branch length (µm) [Single value],No. of compartments
Cell 55 rooted in Path (55),32.99973449,1
Cell 56 rooted in Path (56),12.38251738,1
Cell 53 rooted in Path (53),35.179279,1
Cell 64 rooted in Path (64),2.224912347,1
Cell 54 rooted in Path (54),38.97193792,1
Cell 62 rooted in Path (62),4.933303044,1
Cell 63 rooted in Path (63),10.87893062,1
Cell 60 rooted in Path (60),7.53216611,1
Cell 61 rooted in Path (61),22.82333748,1
Cell 59 rooted in Path (59),8.434963009,1
Cell 57 rooted in Path (57),18.26398516,1
Cell 58 rooted in Path (58),11.43435265,1
,206.0594192,
