\,Branch length (µm) [Single value],No. of compartments
Cell 4 rooted in Path (4),11.76293554,1
Cell 11 rooted in Path (11),7.112847561,1
Cell 5 rooted in Path (5),3.018181616,1
Cell 2 rooted in Path (2),2.443967607,1
Cell 3 rooted in Path (3),6.738896841,1
Cell 10 rooted in Path (10),6.712320982,1
Cell 1 rooted in Path (1),30.36651167,1
Cell 8 rooted in Path (8),2.289072147,1
Cell 9 rooted in Path (9),2.817918326,1
Cell 6 rooted in Path (6),1.696066168,1
Cell 7 rooted in Path (7),15.02674828,1
,89.98546674,
